,Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,Laps,LapTimePerKM,RacePercentage
111,HAM,Mercedes,40.0,92.263,3.0,MEDIUM,6.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,21.66306644752289,0.5555555555555556
112,HAM,Mercedes,41.0,73.292,3.0,MEDIUM,7.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.20873444470533,0.5694444444444444
113,HAM,Mercedes,42.0,73.42800000000001,3.0,MEDIUM,8.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.240666823197934,0.5833333333333334
114,HAM,Mercedes,43.0,73.80600000000001,3.0,MEDIUM,9.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.32942005165532,0.5972222222222222
115,HAM,Mercedes,44.0,73.67800000000001,3.0,MEDIUM,10.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.299366048368164,0.6111111111111112
116,HAM,Mercedes,45.0,74.50500000000001,3.0,MEDIUM,11.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.493543085231277,0.625
117,HAM,Mercedes,46.0,74.185,3.0,MEDIUM,12.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.418408077013382,0.6388888888888888
118,HAM,Mercedes,47.0,74.123,3.0,MEDIUM,13.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.403850669171167,0.6527777777777778
119,HAM,Mercedes,48.0,73.619,3.0,MEDIUM,14.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.285513031227985,0.6666666666666666
120,HAM,Mercedes,49.0,73.12400000000001,3.0,MEDIUM,15.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.16928856539094,0.6805555555555556
121,HAM,Mercedes,50.0,73.47500000000001,3.0,MEDIUM,16.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.251702277529937,0.6944444444444444
122,HAM,Mercedes,51.0,73.324,3.0,MEDIUM,17.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.21624794552712,0.7083333333333334
123,HAM,Mercedes,52.0,73.51100000000001,3.0,MEDIUM,18.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.26015496595445,0.7222222222222222
124,HAM,Mercedes,53.0,73.524,3.0,MEDIUM,19.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.2632073256633,0.7361111111111112
125,HAM,Mercedes,54.0,73.683,3.0,MEDIUM,20.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.300540032871567,0.75
126,HAM,Mercedes,55.0,75.27000000000001,3.0,MEDIUM,21.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.67316271425217,0.7638888888888888
127,HAM,Mercedes,56.0,73.783,3.0,MEDIUM,22.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.324019722939656,0.7777777777777778
128,HAM,Mercedes,57.0,73.45,3.0,MEDIUM,23.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.24583235501291,0.7916666666666666
129,HAM,Mercedes,58.0,73.525,3.0,MEDIUM,24.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.263442122563983,0.8055555555555556
130,HAM,Mercedes,59.0,74.54700000000001,3.0,MEDIUM,25.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.503404555059873,0.8194444444444444
131,HAM,Mercedes,60.0,73.674,3.0,MEDIUM,26.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.29842686076544,0.8333333333333334
132,HAM,Mercedes,61.0,74.462,3.0,MEDIUM,27.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.483446818501996,0.8472222222222222
133,HAM,Mercedes,62.0,73.83500000000001,3.0,MEDIUM,28.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.336229161775066,0.8611111111111112
134,HAM,Mercedes,63.0,73.711,3.0,MEDIUM,29.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.30711434609063,0.875
135,HAM,Mercedes,64.0,73.705,3.0,MEDIUM,30.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.305705564686544,0.8888888888888888
136,HAM,Mercedes,65.0,73.84100000000001,3.0,MEDIUM,31.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.33763794317915,0.9027777777777778
137,HAM,Mercedes,66.0,73.662,3.0,MEDIUM,32.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.295609297957267,0.9166666666666666
138,HAM,Mercedes,67.0,73.509,3.0,MEDIUM,33.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.259685372153086,0.9305555555555556
139,HAM,Mercedes,68.0,74.884,3.0,MEDIUM,34.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.58253111058934,0.9444444444444444
140,HAM,Mercedes,69.0,73.98100000000001,3.0,MEDIUM,35.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.370509509274477,0.9583333333333334
141,HAM,Mercedes,70.0,76.33500000000001,3.0,MEDIUM,36.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.923221413477343,0.9722222222222222
142,HAM,Mercedes,71.0,92.729,4.0,SOFT,2.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,21.772481803240197,0.9861111111111112
143,HAM,Mercedes,72.0,71.09700000000001,4.0,SOFT,3.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,16.69335524771073,1.0
144,BOT,Mercedes,1.0,80.387,1.0,SOFT,5.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.87461845503639,0.013888888888888888
145,BOT,Mercedes,2.0,75.861,1.0,SOFT,6.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.81192768255459,0.027777777777777776
146,BOT,Mercedes,3.0,75.699,1.0,SOFT,7.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.77389058464428,0.041666666666666664
147,BOT,Mercedes,4.0,75.152,1.0,SOFT,8.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.645456679971822,0.05555555555555555
148,BOT,Mercedes,5.0,75.16900000000001,1.0,SOFT,9.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.6494482272834,0.06944444444444445
149,BOT,Mercedes,6.0,75.53,1.0,SOFT,10.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.734209908429207,0.08333333333333333
150,BOT,Mercedes,7.0,75.635,1.0,SOFT,11.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.758863583000704,0.09722222222222222
151,BOT,Mercedes,8.0,75.23700000000001,1.0,SOFT,12.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.665414416529703,0.1111111111111111
152,BOT,Mercedes,9.0,75.75500000000001,1.0,SOFT,13.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.787039211082416,0.125
153,BOT,Mercedes,10.0,75.656,1.0,SOFT,14.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.763794317915004,0.1388888888888889
154,BOT,Mercedes,11.0,75.685,1.0,SOFT,15.0,3.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.77060342803475,0.1527777777777778
