Driver,Position,Status,Finish,Race
ZHO,8,Finished,Points,1
MAG,9,Finished,Points,1
NOR,10,Finished,Points,1
BOT,11,Finished,Out of the points,1
HAM,12,Finished,Out of the points,1
TSU,13,Finished,Out of the points,1
LAW,14,Finished,Out of the points,1
ALB,15,+1 Lap,Out of the points,1
HUL,16,Spun off,DNF,1
PER,17,Spun off,DNF,1
STR,18,Collision damage,DNF,1
COL,19,Collision,DNF,1
OCO,20,Collision,DNF,1
NOR,1,Finished,Win,1
SAI,2,Finished,Podium,1
LEC,3,Finished,Podium,1
HAM,4,Finished,Points,1
RUS,5,Finished,Points,1
VER,6,Finished,Points,1
GAS,7,Finished,Points,1
HUL,8,Finished,Points,1
ALO,9,Finished,Points,1
PIA,10,Finished,Points,1
ALB,11,+1 Lap,Out of the points,1
TSU,12,+1 Lap,Out of the points,1
ZHO,13,+1 Lap,Out of the points,1
STR,14,+1 Lap,Out of the points,1
DOO,15,+1 Lap,Out of the points,1
MAG,16,+1 Lap,Out of the points,1
LAW,17,Engine,DNF,1
BOT,18,Collision damage,DNF,1
COL,19,Engine,DNF,1
PER,20,Collision,DNF,1
