,Driver,Team,GP,Year,Strategy
328,KVY,RB,Abu Dhabi,2019,HARD-MEDIUM
329,SAI,McLaren,Abu Dhabi,2019,SOFT-HARD-MEDIUM
330,RIC,Alpine,Abu Dhabi,2019,SOFT-HARD-SOFT
331,HUL,Alpine,Abu Dhabi,2019,SOFT-MEDIUM
332,RAI,Kick Sauber,Abu Dhabi,2019,MEDIUM-HARD
333,MAG,Haas F1 Team,Abu Dhabi,2019,MEDIUM-HARD
334,GRO,Haas F1 Team,Abu Dhabi,2019,MEDIUM-HARD
335,GIO,Kick Sauber,Abu Dhabi,2019,SOFT-HARD-MEDIUM
336,RUS,Williams,Abu Dhabi,2019,HARD-MEDIUM
337,GAS,RB,Abu Dhabi,2019,MEDIUM-HARD
338,KUB,Williams,Abu Dhabi,2019,HARD-MEDIUM
339,STR,Aston Martin,Abu Dhabi,2019,MEDIUM-HARD-SOFT
340,LEC,Ferrari,Monza,2019,SOFT-HARD
341,BOT,Mercedes,Monza,2019,SOFT-MEDIUM
342,HAM,Mercedes,Monza,2019,SOFT-MEDIUM-SOFT
343,RIC,Alpine,Monza,2019,SOFT-MEDIUM
344,HUL,Alpine,Monza,2019,SOFT-MEDIUM
345,ALB,Red Bull Racing,Monza,2019,SOFT-MEDIUM
346,PER,Aston Martin,Monza,2019,MEDIUM-SOFT
347,VER,Red Bull Racing,Monza,2019,MEDIUM-SOFT-MEDIUM
348,GIO,Kick Sauber,Monza,2019,SOFT-MEDIUM
349,NOR,McLaren,Monza,2019,MEDIUM-HARD
350,GAS,RB,Monza,2019,MEDIUM-SOFT
351,STR,Aston Martin,Monza,2019,SOFT-SOFT-MEDIUM
352,VET,Ferrari,Monza,2019,SOFT-HARD-HARD-MEDIUM
353,RUS,Williams,Monza,2019,MEDIUM-HARD
354,RAI,Kick Sauber,Monza,2019,MEDIUM-MEDIUM-SOFT
355,GRO,Haas F1 Team,Monza,2019,SOFT-MEDIUM-SOFT
356,KUB,Williams,Monza,2019,MEDIUM-SOFT-MEDIUM
357,MAG,Haas F1 Team,Monza,2019,SOFT-MEDIUM-SOFT
358,KVY,RB,Monza,2019,MEDIUM-SOFT
359,SAI,McLaren,Monza,2019,SOFT
360,HAM,Mercedes,France,2019,MEDIUM-HARD
361,BOT,Mercedes,France,2019,MEDIUM-HARD
362,LEC,Ferrari,France,2019,MEDIUM-HARD
363,VER,Red Bull Racing,France,2019,MEDIUM-HARD
364,VET,Ferrari,France,2019,MEDIUM-HARD-SOFT
365,SAI,McLaren,France,2019,MEDIUM-HARD
366,RAI,Kick Sauber,France,2019,HARD-MEDIUM
367,HUL,Alpine,France,2019,HARD-MEDIUM
368,NOR,McLaren,France,2019,MEDIUM-HARD
