index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
250,0 days 02:36:45.596000,LEC,16,0 days 00:01:36.341000,40.0,3.0,,,0 days 00:00:34.998000,0 days 00:00:42.799000,0 days 00:00:18.544000,0 days 02:35:46.502000,0 days 02:36:29.301000,0 days 02:36:47.845000,275.0,298.0,256.0,297.0,False,HARD,14.0,True,Ferrari,0 days 02:35:09.255000,2024-04-07 06:36:10.889,1,3.0,False,,False,True
251,0 days 02:38:21.047000,LEC,16,0 days 00:01:35.451000,41.0,3.0,,,0 days 00:00:34.356000,0 days 00:00:42.553000,0 days 00:00:18.542000,0 days 02:37:22.201000,0 days 02:38:04.754000,0 days 02:38:23.296000,277.0,298.0,256.0,298.0,True,HARD,15.0,True,Ferrari,0 days 02:36:45.596000,2024-04-07 06:37:47.230,1,3.0,False,,False,True
252,0 days 02:39:56.844000,LEC,16,0 days 00:01:35.797000,42.0,3.0,,,0 days 00:00:34.362000,0 days 00:00:43.019000,0 days 00:00:18.416000,0 days 02:38:57.658000,0 days 02:39:40.677000,0 days 02:39:59.093000,278.0,297.0,257.0,299.0,False,HARD,16.0,True,Ferrari,0 days 02:38:21.047000,2024-04-07 06:39:22.681,2,3.0,False,,False,True
253,0 days 02:41:32.557000,LEC,16,0 days 00:01:35.713000,43.0,3.0,,,0 days 00:00:34.546000,0 days 00:00:42.666000,0 days 00:00:18.501000,0 days 02:40:33.639000,0 days 02:41:16.305000,0 days 02:41:34.806000,277.0,299.0,256.0,298.0,False,HARD,17.0,True,Ferrari,0 days 02:39:56.844000,2024-04-07 06:40:58.478,1,3.0,False,,False,True
254,0 days 02:43:08.242000,LEC,16,0 days 00:01:35.685000,44.0,3.0,,,0 days 00:00:34.483000,0 days 00:00:42.776000,0 days 00:00:18.426000,0 days 02:42:09.289000,0 days 02:42:52.065000,0 days 02:43:10.491000,279.0,301.0,257.0,301.0,False,HARD,18.0,True,Ferrari,0 days 02:41:32.557000,2024-04-07 06:42:34.191,1,3.0,False,,False,True
255,0 days 02:44:43.981000,LEC,16,0 days 00:01:35.739000,45.0,3.0,,,0 days 00:00:34.489000,0 days 00:00:42.616000,0 days 00:00:18.634000,0 days 02:43:44.980000,0 days 02:44:27.596000,0 days 02:44:46.230000,276.0,297.0,256.0,296.0,False,HARD,19.0,True,Ferrari,0 days 02:43:08.242000,2024-04-07 06:44:09.876,1,3.0,False,,False,True
256,0 days 02:46:20.759000,LEC,16,0 days 00:01:36.778000,46.0,3.0,,,0 days 00:00:35.285000,0 days 00:00:42.882000,0 days 00:00:18.611000,0 days 02:45:21.515000,0 days 02:46:04.397000,0 days 02:46:23.008000,277.0,298.0,256.0,299.0,False,HARD,20.0,True,Ferrari,0 days 02:44:43.981000,2024-04-07 06:45:45.615,1,4.0,False,,False,True
257,0 days 02:47:56.681000,LEC,16,0 days 00:01:35.922000,47.0,3.0,,,0 days 00:00:34.607000,0 days 00:00:42.757000,0 days 00:00:18.558000,0 days 02:46:57.615000,0 days 02:47:40.372000,0 days 02:47:58.930000,275.0,299.0,256.0,297.0,False,HARD,21.0,True,Ferrari,0 days 02:46:20.759000,2024-04-07 06:47:22.393,1,4.0,False,,False,True
258,0 days 02:49:32.183000,LEC,16,0 days 00:01:35.502000,48.0,3.0,,,0 days 00:00:34.429000,0 days 00:00:42.600000,0 days 00:00:18.473000,0 days 02:48:33.359000,0 days 02:49:15.959000,0 days 02:49:34.432000,277.0,298.0,256.0,299.0,False,HARD,22.0,True,Ferrari,0 days 02:47:56.681000,2024-04-07 06:48:58.315,1,4.0,False,,False,True
259,0 days 02:51:07.726000,LEC,16,0 days 00:01:35.543000,49.0,3.0,,,0 days 00:00:34.412000,0 days 00:00:42.697000,0 days 00:00:18.434000,0 days 02:50:08.844000,0 days 02:50:51.541000,0 days 02:51:09.975000,276.0,298.0,256.0,298.0,False,HARD,23.0,True,Ferrari,0 days 02:49:32.183000,2024-04-07 06:50:33.817,1,4.0,False,,False,True
260,0 days 02:52:43,LEC,16,0 days 00:01:35.274000,50.0,3.0,,,0 days 00:00:34.352000,0 days 00:00:42.548000,0 days 00:00:18.374000,0 days 02:51:44.327000,0 days 02:52:26.875000,0 days 02:52:45.249000,280.0,298.0,257.0,299.0,True,HARD,24.0,True,Ferrari,0 days 02:51:07.726000,2024-04-07 06:52:09.360,1,4.0,False,,False,True
261,0 days 02:54:18.199000,LEC,16,0 days 00:01:35.199000,51.0,3.0,,,0 days 00:00:34.245000,0 days 00:00:42.492000,0 days 00:00:18.462000,0 days 02:53:19.494000,0 days 02:54:01.986000,0 days 02:54:20.448000,282.0,299.0,256.0,300.0,True,HARD,25.0,True,Ferrari,0 days 02:52:43,2024-04-07 06:53:44.634,1,4.0,False,,False,True
262,0 days 02:55:53.515000,LEC,16,0 days 00:01:35.316000,52.0,3.0,,,0 days 00:00:34.299000,0 days 00:00:42.573000,0 days 00:00:18.444000,0 days 02:54:54.747000,0 days 02:55:37.320000,0 days 02:55:55.764000,281.0,299.0,256.0,299.0,False,HARD,26.0,True,Ferrari,0 days 02:54:18.199000,2024-04-07 06:55:19.833,1,4.0,False,,False,True
263,0 days 02:57:28.559000,LEC,16,0 days 00:01:35.044000,53.0,3.0,,,0 days 00:00:34.141000,0 days 00:00:42.505000,0 days 00:00:18.398000,0 days 02:56:29.905000,0 days 02:57:12.410000,0 days 02:57:30.808000,282.0,299.0,255.0,301.0,True,HARD,27.0,True,Ferrari,0 days 02:55:53.515000,2024-04-07 06:56:55.149,1,4.0,False,,False,True
698,0 days 01:04:57.504000,SAI,55,0 days 00:02:17.613000,1.0,1.0,0 days 00:26:15.054000,0 days 01:04:56.098000,,0 days 00:01:07.997000,0 days 00:00:32.076000,,0 days 01:04:26.329000,0 days 01:04:58.504000,279.0,243.0,,180.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:02:40.422000,2024-04-07 05:03:42.056,25,4.0,False,,False,False
