,Driver,Gap
266,SAI,0.8421778205887193
267,ALO,0.9711998161878326
268,OCO,1.149709700509891
269,ALB,1.1611979603920086
270,GAS,1.3043593527691115
271,RIC,1.3458938308044397
272,BOT,1.4183582392916072
273,STR,2.2596523475817105
274,HUL,2.7828100283671655
275,MAG,2.952482789702979
276,TSU,3.0346680334750196
277,SAR,3.5975927676985457
278,ZHO,4.079215970448661
279,NOR,0.0
280,PIA,0.1374059273639604
281,RUS,0.14244834671675413
282,LEC,0.16892104831898389
283,SAI,0.17648467734819237
284,HAM,0.23447249990546354
285,VER,0.42230262079746866
286,PER,0.9265445560780055
287,ALB,1.2253079027317415
288,HUL,1.275732096259786
289,ALO,1.3791016929923083
290,RIC,1.4522167736079785
291,MAG,1.728289233174071
292,GAS,1.7787134267021336
293,OCO,1.8114891524953645
294,TSU,2.039658628209809
295,STR,2.125379757207517
296,COL,2.185888789441185
297,BOT,2.23631298296923
298,ZHO,2.669961047310493
299,LEC,0.0
300,PIA,0.31667735411632436
301,SAI,0.4340748779164524
302,PER,0.44196714842401963
303,RUS,0.5021457110442464
304,VER,0.6491392492477692
305,HAM,0.9115572436245318
306,ALO,0.9904799487002465
307,COL,1.0930794652986773
308,ALB,1.455137374833531
309,BEA,1.5814137029546773
310,TSU,1.6475114684555832
311,GAS,1.6997977605682426
312,HUL,1.7126227001430516
313,STR,1.9780002959601535
314,RIC,2.152616780940169
315,NOR,2.213781877373847
316,BOT,2.2226606816948653
317,ZHO,2.8422039165392396
318,OCO,3.096729640408435
319,NOR,0.0
320,PIA,0.12845573862049134
321,VER,0.17313599553197556
322,LEC,0.2479754258586922
323,HAM,0.3529740296006571
324,RUS,0.38201619659312896
325,SAI,0.651214744484779
326,HUL,0.6590337894442773
