index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
672,0 days 01:35:53.065000,NOR,4,0 days 00:01:33.941000,21.0,1.0,,,0 days 00:00:34.384000,0 days 00:00:29.621000,0 days 00:00:29.936000,0 days 01:34:53.524000,0 days 01:35:23.145000,0 days 01:35:53.081000,,298.0,290.0,299.0,False,MEDIUM,21.0,True,McLaren,0 days 01:34:19.124000,2024-03-09 17:38:34.344,1,3.0,False,,False,True
673,0 days 01:37:26.763000,NOR,4,0 days 00:01:33.698000,22.0,1.0,,,0 days 00:00:34.268000,0 days 00:00:29.525000,0 days 00:00:29.905000,0 days 01:36:27.349000,0 days 01:36:56.874000,0 days 01:37:26.779000,,297.0,291.0,298.0,False,MEDIUM,22.0,True,McLaren,0 days 01:35:53.065000,2024-03-09 17:40:08.285,1,3.0,False,,False,True
674,0 days 01:39:00.587000,NOR,4,0 days 00:01:33.824000,23.0,1.0,,,0 days 00:00:34.331000,0 days 00:00:29.528000,0 days 00:00:29.965000,0 days 01:38:01.110000,0 days 01:38:30.638000,0 days 01:39:00.603000,,298.0,290.0,299.0,False,MEDIUM,23.0,True,McLaren,0 days 01:37:26.763000,2024-03-09 17:41:41.983,1,3.0,False,,False,True
675,0 days 01:40:34.148000,NOR,4,0 days 00:01:33.561000,24.0,1.0,,,0 days 00:00:34.228000,0 days 00:00:29.486000,0 days 00:00:29.847000,0 days 01:39:34.831000,0 days 01:40:04.317000,0 days 01:40:34.164000,288.0,297.0,290.0,298.0,True,MEDIUM,24.0,True,McLaren,0 days 01:39:00.587000,2024-03-09 17:43:15.807,1,3.0,False,,False,True
676,0 days 01:42:07.720000,NOR,4,0 days 00:01:33.572000,25.0,1.0,,,0 days 00:00:34.207000,0 days 00:00:29.461000,0 days 00:00:29.904000,0 days 01:41:08.371000,0 days 01:41:37.832000,0 days 01:42:07.736000,287.0,298.0,290.0,298.0,False,MEDIUM,25.0,True,McLaren,0 days 01:40:34.148000,2024-03-09 17:44:49.368,1,3.0,False,,False,True
677,0 days 01:43:41.512000,NOR,4,0 days 00:01:33.792000,26.0,1.0,,,0 days 00:00:34.364000,0 days 00:00:29.549000,0 days 00:00:29.879000,0 days 01:42:42.100000,0 days 01:43:11.649000,0 days 01:43:41.528000,284.0,296.0,285.0,297.0,False,MEDIUM,26.0,True,McLaren,0 days 01:42:07.720000,2024-03-09 17:46:22.940,1,3.0,False,,False,True
678,0 days 01:45:16.230000,NOR,4,0 days 00:01:34.718000,27.0,1.0,,,0 days 00:00:35.204000,0 days 00:00:29.598000,0 days 00:00:29.916000,0 days 01:44:16.732000,0 days 01:44:46.330000,0 days 01:45:16.246000,288.0,301.0,292.0,305.0,False,MEDIUM,27.0,True,McLaren,0 days 01:43:41.512000,2024-03-09 17:47:56.732,1,4.0,False,,False,True
679,0 days 01:46:50.024000,NOR,4,0 days 00:01:33.794000,28.0,1.0,,,0 days 00:00:34.295000,0 days 00:00:29.568000,0 days 00:00:29.931000,0 days 01:45:50.541000,0 days 01:46:20.109000,0 days 01:46:50.040000,,301.0,291.0,301.0,False,MEDIUM,28.0,True,McLaren,0 days 01:45:16.230000,2024-03-09 17:49:31.450,1,4.0,False,,False,True
680,0 days 01:48:23.655000,NOR,4,0 days 00:01:33.631000,29.0,1.0,,,0 days 00:00:34.288000,0 days 00:00:29.531000,0 days 00:00:29.812000,0 days 01:47:24.328000,0 days 01:47:53.859000,0 days 01:48:23.671000,287.0,302.0,292.0,303.0,False,MEDIUM,29.0,True,McLaren,0 days 01:46:50.024000,2024-03-09 17:51:05.244,1,4.0,False,,False,True
681,0 days 01:49:57.305000,NOR,4,0 days 00:01:33.650000,30.0,1.0,,,0 days 00:00:34.252000,0 days 00:00:29.547000,0 days 00:00:29.851000,0 days 01:48:57.923000,0 days 01:49:27.470000,0 days 01:49:57.321000,288.0,301.0,291.0,302.0,False,MEDIUM,30.0,True,McLaren,0 days 01:48:23.655000,2024-03-09 17:52:38.875,1,4.0,False,,False,True
682,0 days 01:51:30.867000,NOR,4,0 days 00:01:33.562000,31.0,1.0,,,0 days 00:00:34.267000,0 days 00:00:29.436000,0 days 00:00:29.859000,0 days 01:50:31.588000,0 days 01:51:01.024000,0 days 01:51:30.883000,,301.0,291.0,301.0,False,MEDIUM,31.0,True,McLaren,0 days 01:49:57.305000,2024-03-09 17:54:12.525,1,4.0,False,,False,True
683,0 days 01:53:04.176000,NOR,4,0 days 00:01:33.309000,32.0,1.0,,,0 days 00:00:34.073000,0 days 00:00:29.426000,0 days 00:00:29.810000,0 days 01:52:04.956000,0 days 01:52:34.382000,0 days 01:53:04.192000,289.0,300.0,292.0,301.0,True,MEDIUM,32.0,True,McLaren,0 days 01:51:30.867000,2024-03-09 17:55:46.087,1,4.0,False,,False,True
